Time,Type,Details
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:18,DNS,kali.local
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60872 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60872
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60872 to 10.0.2.15:80
2025-11-10 12:36:21,URL,http://10.0.2.15/
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60872 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60872
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60872
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60872
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60872 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60872 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60872 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60872
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60872 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60886 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60886
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60886 to 10.0.2.15:80
2025-11-10 12:36:21,URL,http://10.0.2.15/
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60886 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60886
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60886
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60886 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60886
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60886 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60886 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60886
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60886 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60902 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60902
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60902 to 10.0.2.15:80
2025-11-10 12:36:21,URL,http://10.0.2.15/
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60902 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60902
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60902
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60902
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60902 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60902 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60902 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60902
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60902 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60908 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60908
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60908 to 10.0.2.15:80
2025-11-10 12:36:21,URL,http://10.0.2.15/
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60908 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60908
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60908
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60908
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60908 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60908 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60908 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60908
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60908 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60910 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60910
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60910 to 10.0.2.15:80
2025-11-10 12:36:21,URL,http://10.0.2.15/
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60910 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60910
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60910
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60910
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60910 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60910 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60910 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60910
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60910 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60922 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60922
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60922 to 10.0.2.15:80
2025-11-10 12:36:21,URL,http://10.0.2.15/
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60922 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60922
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60922
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60922 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60922
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60922 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60922 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60922
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60922 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60930 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60930
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60930 to 10.0.2.15:80
2025-11-10 12:36:21,URL,http://10.0.2.15/
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60930 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60930
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60930
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60930
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60930
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60930 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60930 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60930 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60930
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60930 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60942 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60942
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60942 to 10.0.2.15:80
2025-11-10 12:36:21,URL,http://10.0.2.15/
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60942 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60942
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60942
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60942
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60942 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60942 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60942 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60942
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60942 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60952 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60952
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60952 to 10.0.2.15:80
2025-11-10 12:36:21,URL,http://10.0.2.15/
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60952 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60952
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60952
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60952
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60952 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60952 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60952 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60952
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60952 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60956 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60956
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60956 to 10.0.2.15:80
2025-11-10 12:36:21,URL,http://10.0.2.15/
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60956 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60956
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60956
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60956
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60956 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60956 to 10.0.2.15:80
2025-11-10 12:36:21,HTTP_80,10.0.2.15:80 to 10.0.2.17:60956
2025-11-10 12:36:21,HTTP_80,10.0.2.17:60956 to 10.0.2.15:80
Top Talkers,Count
10.0.2.17,160
10.0.2.15,160

Protocol (IP proto number),Count
6,120
17,40
